Year,Sex,Age Group,Race or Ethnicity,Selected Cause of Death,Deaths
2012,F,35-44,Hispanic,Accidents,149
2012,F,35-44,Hispanic,Malignant Neoplasms,372
2012,F,35-44,Hispanic,All Other Causes,449
2012,F,35-44,Hispanic,Total,1198
2012,F,35-44,White Non Hispanic,Accidents,1
2012,F,35-44,White Non Hispanic,All Other Causes,1
2012,F,35-44,White Non Hispanic,Total,2
2012,F,45-54,Black Non Hispanic,Accidents,1
2012,F,45-54,Black Non Hispanic,Diseases of the Heart,1
2012,F,45-54,Black Non Hispanic,Malignant Neoplasms,1
2012,F,45-54,Black Non Hispanic,Total,3
2012,F,45-54,Hispanic,Diabetes Mellitus,25
2012,F,45-54,Hispanic,Pneumonia,58
2012,F,45-54,Hispanic,AIDS,94
2012,F,45-54,Hispanic,CLRD,94
2012,F,45-54,Hispanic,Cerebrovascular Disease,123
2012,F,45-54,Hispanic,Accidents,251
2012,F,45-54,Hispanic,Diseases of the Heart,488
2012,F,45-54,Hispanic,All Other Causes,1034
2012,F,45-54,Hispanic,Malignant Neoplasms,1473
2012,F,45-54,Hispanic,Total,3640
2012,F,45-54,White Non Hispanic,CLRD,1
2012,F,45-54,White Non Hispanic,Diseases of the Heart,1
2012,F,45-54,White Non Hispanic,Malignant Neoplasms,1
2012,F,45-54,White Non Hispanic,Total,3
2012,F,55-64,Black Non Hispanic,Diseases of the Heart,1
2012,F,55-64,Black Non Hispanic,Total,1
2012,F,55-64,Hispanic,Diabetes Mellitus,41
2012,F,55-64,Hispanic,AIDS,59
2012,F,55-64,Hispanic,Pneumonia,124
2012,F,55-64,Hispanic,Cerebrovascular Disease,192
2012,F,55-64,Hispanic,Accidents,202
2012,F,55-64,Hispanic,CLRD,306
2012,F,55-64,Hispanic,Diseases of the Heart,1231
2012,F,55-64,Hispanic,All Other Causes,1800
2012,F,55-64,Hispanic,Malignant Neoplasms,3057
2012,F,55-64,Hispanic,Total,7012
2012,F,55-64,Not Stated,Accidents,1
2012,F,55-64,Not Stated,Malignant Neoplasms,1
2012,F,55-64,Not Stated,Total,2
2012,F,55-64,Other Non Hispanic,Diseases of the Heart,1
2012,F,55-64,Other Non Hispanic,Total,1
2012,F,55-64,White Non Hispanic,Accidents,1
2012,F,55-64,White Non Hispanic,Malignant Neoplasms,1
2012,F,55-64,White Non Hispanic,Diseases of the Heart,2
2012,F,55-64,White Non Hispanic,All Other Causes,4
2012,F,55-64,White Non Hispanic,Total,8
2012,F,65-74,Black Non Hispanic,All Other Causes,1
2012,F,65-74,Black Non Hispanic,Malignant Neoplasms,1
2012,F,65-74,Black Non Hispanic,Total,2
2012,F,65-74,Hispanic,AIDS,17
2012,F,65-74,Hispanic,Diabetes Mellitus,69
2012,F,65-74,Hispanic,Accidents,171
2012,F,65-74,Hispanic,Pneumonia,201
2012,F,65-74,Hispanic,Cerebrovascular Disease,382
2012,F,65-74,Hispanic,CLRD,789
2012,F,65-74,Hispanic,Diseases of the Heart,2192
2012,F,65-74,Hispanic,All Other Causes,2537
2012,F,65-74,Hispanic,Malignant Neoplasms,4200
2012,F,65-74,Hispanic,Total,10558
2012,F,65-74,Not Stated,CLRD,1
2012,F,65-74,Not Stated,Diseases of the Heart,2
2012,F,65-74,Not Stated,Total,3
2012,F,65-74,White Non Hispanic,Accidents,1
2012,F,65-74,White Non Hispanic,CLRD,1
2012,F,65-74,White Non Hispanic,Pneumonia,1
2012,F,65-74,White Non Hispanic,Diseases of the Heart,3
2012,F,65-74,White Non Hispanic,All Other Causes,4
2012,F,65-74,White Non Hispanic,Malignant Neoplasms,5
2012,F,65-74,White Non Hispanic,Total,15
2012,F,75-84,Hispanic,AIDS,9
2012,F,75-84,Hispanic,Diabetes Mellitus,109
2012,F,75-84,Hispanic,Accidents,295
2012,F,75-84,Hispanic,Pneumonia,532
2012,F,75-84,Hispanic,Cerebrovascular Disease,960
2012,F,75-84,Hispanic,CLRD,1268
2012,F,75-84,Hispanic,Malignant Neoplasms,4825
2012,F,75-84,Hispanic,Diseases of the Heart,5100
2012,F,75-84,Hispanic,All Other Causes,5247
2012,F,75-84,Hispanic,Total,18345
2012,F,75-84,Not Stated,Diseases of the Heart,1
2012,F,75-84,Not Stated,Total,1
2012,F,75-84,White Non Hispanic,Accidents,1
2012,F,75-84,White Non Hispanic,Malignant Neoplasms,1
2012,F,75-84,White Non Hispanic,CLRD,2
2012,F,75-84,White Non Hispanic,All Other Causes,3
2012,F,75-84,White Non Hispanic,Diseases of the Heart,4
2012,F,75-84,White Non Hispanic,Total,11
2012,F,85+,Black Non Hispanic,All Other Causes,1
2012,F,85+,Black Non Hispanic,Total,1
2012,F,85+,Hispanic,AIDS,1
2012,F,85+,Hispanic,Diabetes Mellitus,128
2012,F,85+,Hispanic,Accidents,543
2012,F,85+,Hispanic,Pneumonia,1299
2012,F,85+,Hispanic,CLRD,1435
2012,F,85+,Hispanic,Cerebrovascular Disease,1918
2012,F,85+,Hispanic,Malignant Neoplasms,3682
2012,F,85+,Hispanic,All Other Causes,11416
2012,F,85+,Hispanic,Diseases of the Heart,13198
2012,F,85+,Hispanic,Total,33620
2012,F,85+,Not Stated,All Other Causes,1
2012,F,85+,Not Stated,Diseases of the Heart,1
2012,F,85+,Not Stated,Malignant Neoplasms,1
2012,F,85+,Not Stated,Total,3
2012,F,85+,White Non Hispanic,CLRD,1
2012,F,85+,White Non Hispanic,Pneumonia,1
2012,F,85+,White Non Hispanic,All Other Causes,10
2012,F,85+,White Non Hispanic,Diseases of the Heart,13
2012,F,85+,White Non Hispanic,Total,25
2012,F,<1,Hispanic,AIDS,1
2012,F,<1,Hispanic,Cerebrovascular Disease,1
2012,F,<1,Hispanic,Pneumonia,1
2012,F,<1,Hispanic,Diseases of the Heart,10
2012,F,<1,Hispanic,Accidents,12
2012,F,<1,Hispanic,All Other Causes,507
2012,F,<1,Hispanic,Total,532
2012,F,<1,Not Stated,All Other Causes,2
2012,F,<1,Not Stated,Total,2
2012,F,<1,White Non Hispanic,All Other Causes,4
2012,F,<1,White Non Hispanic,Total,4
2012,M,1-9,Black Non Hispanic,Accidents,1
2012,M,1-9,Black Non Hispanic,Total,1
2012,M,1-9,Hispanic,AIDS,1
2012,M,1-9,Hispanic,Cerebrovascular Disease,2
2012,M,1-9,Hispanic,CLRD,4
2012,M,1-9,Hispanic,Pneumonia,4
2012,M,1-9,Hispanic,Diseases of the Heart,9
2012,M,1-9,Hispanic,Malignant Neoplasms,27
2012,M,1-9,Hispanic,Accidents,36
2012,M,1-9,Hispanic,All Other Causes,86
2012,M,1-9,Hispanic,Total,169
2012,M,1-9,White Non Hispanic,Diseases of the Heart,1
2012,M,1-9,White Non Hispanic,Total,1
2012,M,10-19,Hispanic,Cerebrovascular Disease,1
2012,M,10-19,Hispanic,Diabetes Mellitus,1
2012,M,10-19,Hispanic,Pneumonia,4
2012,M,10-19,Hispanic,CLRD,9
2012,M,10-19,Hispanic,Diseases of the Heart,9
2012,M,10-19,Hispanic,Malignant Neoplasms,30
2012,M,10-19,Hispanic,Accidents,119
2012,M,10-19,Hispanic,All Other Causes,208
2012,M,10-19,Hispanic,Total,381
2012,M,20-24,Black Non Hispanic,Accidents,1
2012,M,20-24,Black Non Hispanic,Total,1
2012,M,20-24,Hispanic,Diabetes Mellitus,1
2012,M,20-24,Hispanic,Pneumonia,3
2012,M,20-24,Hispanic,Cerebrovascular Disease,5
2012,M,20-24,Hispanic,CLRD,7
2012,M,20-24,Hispanic,Diseases of the Heart,19
2012,M,20-24,Hispanic,Malignant Neoplasms,32
2012,M,20-24,Hispanic,Accidents,271
2012,M,20-24,Hispanic,All Other Causes,350
2012,M,20-24,Hispanic,Total,694
2012,M,25-34,Hispanic,Diabetes Mellitus,3
2012,M,25-34,Hispanic,CLRD,9
2012,M,25-34,Hispanic,Pneumonia,13
2012,M,25-34,Hispanic,Cerebrovascular Disease,14
2012,M,25-34,Hispanic,AIDS,34
2012,M,25-34,Hispanic,Diseases of the Heart,102
2012,M,25-34,Hispanic,Malignant Neoplasms,118
2012,M,25-34,Hispanic,Accidents,529
2012,M,25-34,Hispanic,All Other Causes,649
2012,M,25-34,Hispanic,Total,1471
2012,M,25-34,Not Stated,Accidents,1
2012,M,25-34,Not Stated,All Other Causes,1
2012,M,25-34,Not Stated,Total,2
2012,M,25-34,White Non Hispanic,All Other Causes,2
2012,M,25-34,White Non Hispanic,Total,2
2012,M,35-44,Black Non Hispanic,All Other Causes,1
2012,M,35-44,Black Non Hispanic,Total,1
2012,M,35-44,Hispanic,Diabetes Mellitus,12
2012,M,35-44,Hispanic,Pneumonia,17
2012,M,35-44,Hispanic,CLRD,28
2012,M,35-44,Hispanic,Cerebrovascular Disease,44
2012,M,35-44,Hispanic,AIDS,65
2012,M,35-44,Hispanic,Malignant Neoplasms,306
2012,M,35-44,Hispanic,Diseases of the Heart,342
2012,M,35-44,Hispanic,Accidents,438
2012,M,35-44,Hispanic,All Other Causes,830
2012,M,35-44,Hispanic,Total,2082
2012,M,35-44,Not Stated,All Other Causes,1
2012,M,35-44,Not Stated,Total,1
2012,M,35-44,White Non Hispanic,AIDS,1
2012,M,35-44,White Non Hispanic,Malignant Neoplasms,1
2012,M,35-44,White Non Hispanic,Total,2
2012,M,45-54,Black Non Hispanic,All Other Causes,3
2012,M,45-54,Black Non Hispanic,Total,3
2012,M,45-54,Hispanic,Diabetes Mellitus,35
2012,M,45-54,Hispanic,Pneumonia,79
2012,M,45-54,Hispanic,CLRD,91
2012,M,45-54,Hispanic,Cerebrovascular Disease,150
2012,M,45-54,Hispanic,AIDS,172
2012,M,45-54,Hispanic,Accidents,627
2012,M,45-54,Hispanic,Diseases of the Heart,1307
2012,M,45-54,Hispanic,Malignant Neoplasms,1321
2012,M,45-54,Hispanic,All Other Causes,1836
2012,M,45-54,Hispanic,Total,5618
2012,M,45-54,Not Stated,Accidents,1
2012,M,45-54,Not Stated,Diseases of the Heart,1
2012,M,45-54,Not Stated,Total,2
2012,M,45-54,White Non Hispanic,Accidents,1
2012,M,45-54,White Non Hispanic,Cerebrovascular Disease,1
2012,M,45-54,White Non Hispanic,Malignant Neoplasms,1
2012,M,45-54,White Non Hispanic,All Other Causes,5
2012,M,45-54,White Non Hispanic,Total,8
2012,M,55-64,Hispanic,Diabetes Mellitus,70
2012,M,55-64,Hispanic,AIDS,154
2012,M,55-64,Hispanic,Pneumonia,176
2012,M,55-64,Hispanic,Cerebrovascular Disease,265
2012,M,55-64,Hispanic,CLRD,341
2012,M,55-64,Hispanic,Accidents,457
2012,M,55-64,Hispanic,Diseases of the Heart,2800
2012,M,55-64,Hispanic,All Other Causes,2879
2012,M,55-64,Hispanic,Malignant Neoplasms,3390
2012,M,55-64,Hispanic,Total,10532
2012,M,55-64,Not Stated,All Other Causes,1
2012,M,55-64,Not Stated,Cerebrovascular Disease,1
2012,M,55-64,Not Stated,Diseases of the Heart,1
2012,M,55-64,Not Stated,Total,3
2012,M,55-64,White Non Hispanic,Accidents,1
2012,M,55-64,White Non Hispanic,CLRD,1
2012,M,55-64,White Non Hispanic,Pneumonia,1
2012,M,55-64,White Non Hispanic,Malignant Neoplasms,2
2012,M,55-64,White Non Hispanic,All Other Causes,7
2012,M,55-64,White Non Hispanic,Diseases of the Heart,10
2012,M,55-64,White Non Hispanic,Total,22
2012,M,65-74,Black Non Hispanic,Accidents,1
2012,M,65-74,Black Non Hispanic,Diseases of the Heart,1
2012,M,65-74,Black Non Hispanic,Malignant Neoplasms,1
2012,M,65-74,Black Non Hispanic,All Other Causes,2
2012,M,65-74,Black Non Hispanic,CLRD,2
2012,M,65-74,Black Non Hispanic,Total,7
2012,M,65-74,Hispanic,AIDS,62
2012,M,65-74,Hispanic,Diabetes Mellitus,78
2012,M,65-74,Hispanic,Accidents,286
2012,M,65-74,Hispanic,Pneumonia,302
2012,M,65-74,Hispanic,Cerebrovascular Disease,397
2012,M,65-74,Hispanic,CLRD,646
2012,M,65-74,Hispanic,All Other Causes,2958
2012,M,65-74,Hispanic,Diseases of the Heart,3581
2012,M,65-74,Hispanic,Malignant Neoplasms,4656
2012,M,65-74,Hispanic,Total,12966
2012,M,65-74,Not Stated,Accidents,1
2012,M,65-74,Not Stated,All Other Causes,2
2012,M,65-74,Not Stated,Diseases of the Heart,3
2012,M,65-74,Not Stated,Total,6
2012,M,65-74,White Non Hispanic,Accidents,2
2012,M,65-74,White Non Hispanic,Cerebrovascular Disease,2
2012,M,65-74,White Non Hispanic,CLRD,3
2012,M,65-74,White Non Hispanic,Malignant Neoplasms,3
2012,M,65-74,White Non Hispanic,Diseases of the Heart,4
2012,M,65-74,White Non Hispanic,Total,14
2012,M,75-84,Black Non Hispanic,Diseases of the Heart,1
2012,M,75-84,Black Non Hispanic,Total,1
2012,M,75-84,Hispanic,AIDS,14
2012,M,75-84,Hispanic,Diabetes Mellitus,106
2012,M,75-84,Hispanic,Accidents,367
2012,M,75-84,Hispanic,Pneumonia,609
2012,M,75-84,Hispanic,Cerebrovascular Disease,743
2012,M,75-84,Hispanic,CLRD,1045
2012,M,75-84,Hispanic,All Other Causes,4657
2012,M,75-84,Hispanic,Malignant Neoplasms,4960
2012,M,75-84,Hispanic,Diseases of the Heart,5437
2012,M,75-84,Hispanic,Total,17938
2012,M,75-84,Not Stated,Diseases of the Heart,1
2012,M,75-84,Not Stated,Malignant Neoplasms,1
2012,M,75-84,Not Stated,All Other Causes,2
2012,M,75-84,Not Stated,Total,4
2012,M,75-84,White Non Hispanic,Pneumonia,1
2012,M,75-84,White Non Hispanic,Diseases of the Heart,2
2012,M,75-84,White Non Hispanic,Malignant Neoplasms,3
2012,M,75-84,White Non Hispanic,All Other Causes,4
2012,M,75-84,White Non Hispanic,Total,10
2012,M,85+,Black Non Hispanic,Diseases of the Heart,1
2012,M,85+,Black Non Hispanic,Total,1
2012,M,85+,Hispanic,Diabetes Mellitus,82
2012,M,85+,Hispanic,Accidents,393
2012,M,85+,Hispanic,Cerebrovascular Disease,768
2012,M,85+,Hispanic,Pneumonia,866
2012,M,85+,Hispanic,CLRD,871
2012,M,85+,Hispanic,Malignant Neoplasms,2947
2012,M,85+,Hispanic,All Other Causes,5538
2012,M,85+,Hispanic,Diseases of the Heart,7184
2012,M,85+,Hispanic,Total,18649
2012,M,85+,Not Stated,CLRD,1
2012,M,85+,Not Stated,Diseases of the Heart,1
2012,M,85+,Not Stated,Malignant Neoplasms,1
2012,M,85+,Not Stated,Total,3
2012,M,85+,White Non Hispanic,Malignant Neoplasms,1
2012,M,85+,White Non Hispanic,Pneumonia,1
2012,M,85+,White Non Hispanic,All Other Causes,4
2012,M,85+,White Non Hispanic,Diseases of the Heart,4
2012,M,85+,White Non Hispanic,Total,10
2012,M,<1,Black Non Hispanic,All Other Causes,1
2012,M,<1,Black Non Hispanic,Total,1
2012,M,<1,Hispanic,Malignant Neoplasms,1
2012,M,<1,Hispanic,Cerebrovascular Disease,4
2012,M,<1,Hispanic,Pneumonia,5
2012,M,<1,Hispanic,Diseases of the Heart,9
2012,M,<1,Hispanic,Accidents,24
2012,M,<1,Hispanic,All Other Causes,607
2012,M,<1,Hispanic,Total,650
2012,M,<1,Not Stated,All Other Causes,2
2012,M,<1,Not Stated,Total,2
2013,F,1-9,Hispanic,CLRD,1
2013,F,1-9,Hispanic,Pneumonia,2
2013,F,1-9,Hispanic,Cerebrovascular Disease,4
2013,F,1-9,Hispanic,Diseases of the Heart,7
2013,F,1-9,Hispanic,Malignant Neoplasms,20
2013,F,1-9,Hispanic,Accidents,29
2013,F,1-9,Hispanic,All Other Causes,76
2013,F,1-9,Hispanic,Total,139
2013,F,10-19,Hispanic,Cerebrovascular Disease,1
2013,F,10-19,Hispanic,Diabetes Mellitus,1
2013,F,10-19,Hispanic,CLRD,6
2013,F,10-19,Hispanic,Pneumonia,6
2013,F,10-19,Hispanic,Diseases of the Heart,13
2013,F,10-19,Hispanic,Malignant Neoplasms,22
2013,F,10-19,Hispanic,Accidents,54
2013,F,10-19,Hispanic,All Other Causes,80
2013,F,10-19,Hispanic,Total,183
2013,F,20-24,Hispanic,Diabetes Mellitus,1
2013,F,20-24,Hispanic,AIDS,2
2013,F,20-24,Hispanic,Cerebrovascular Disease,2
2013,F,20-24,Hispanic,CLRD,5
2013,F,20-24,Hispanic,Pneumonia,5
2013,F,20-24,Hispanic,Diseases of the Heart,12
2013,F,20-24,Hispanic,Malignant Neoplasms,20
2013,F,20-24,Hispanic,Accidents,77
2013,F,20-24,Hispanic,All Other Causes,99
2013,F,20-24,Hispanic,Total,223
2013,F,25-34,Hispanic,AIDS,6
2013,F,25-34,Hispanic,Diabetes Mellitus,8
2013,F,25-34,Hispanic,CLRD,10
2013,F,25-34,Hispanic,Pneumonia,11
2013,F,25-34,Hispanic,Cerebrovascular Disease,16
2013,F,25-34,Hispanic,Diseases of the Heart,49
2013,F,25-34,Hispanic,Malignant Neoplasms,102
2013,F,25-34,Hispanic,Accidents,144
2013,F,25-34,Hispanic,All Other Causes,285
2013,F,25-34,Hispanic,Total,631
2013,F,25-34,White Non Hispanic,Malignant Neoplasms,1
2013,F,25-34,White Non Hispanic,Total,1
2013,F,35-44,Hispanic,Pneumonia,9
2013,F,35-44,Hispanic,Diabetes Mellitus,11
2013,F,35-44,Hispanic,CLRD,18
2013,F,35-44,Hispanic,AIDS,35
2013,F,35-44,Hispanic,Cerebrovascular Disease,40
2013,F,35-44,Hispanic,Diseases of the Heart,148
2013,F,35-44,Hispanic,Accidents,150
2013,F,35-44,Hispanic,Malignant Neoplasms,369
2013,F,35-44,Hispanic,All Other Causes,454
2013,F,35-44,Hispanic,Total,1234
2013,F,35-44,White Non Hispanic,Diseases of the Heart,1
2013,F,35-44,White Non Hispanic,Total,1
2013,F,45-54,Black Non Hispanic,All Other Causes,1
2013,F,45-54,Black Non Hispanic,Total,1
2013,F,45-54,Hispanic,Diabetes Mellitus,13
2018,F,25-34,Hispanic,AIDS,1
2013,F,45-54,Hispanic,Pneumonia,67
2013,F,45-54,Hispanic,AIDS,68
2013,F,45-54,Hispanic,CLRD,94
2013,F,45-54,Hispanic,Cerebrovascular Disease,119
2013,F,45-54,Hispanic,Accidents,270
2013,F,45-54,Hispanic,Diseases of the Heart,533
2013,F,45-54,Hispanic,All Other Causes,1049
2013,F,45-54,Hispanic,Malignant Neoplasms,1372
2013,F,45-54,Hispanic,Total,3585
2013,F,45-54,Not Stated,All Other Causes,1
2013,F,45-54,Not Stated,Total,1
2013,F,45-54,White Non Hispanic,All Other Causes,1
2013,F,45-54,White Non Hispanic,Malignant Neoplasms,1
2013,F,45-54,White Non Hispanic,Accidents,2
2013,F,45-54,White Non Hispanic,Total,4
2013,F,55-64,Black Non Hispanic,Diseases of the Heart,1
2013,F,55-64,Black Non Hispanic,Total,1
2013,F,55-64,Hispanic,Diabetes Mellitus,47
2013,F,55-64,Hispanic,AIDS,68
2013,F,55-64,Hispanic,Pneumonia,120
2013,F,55-64,Hispanic,Cerebrovascular Disease,179
2013,F,55-64,Hispanic,Accidents,235
2013,F,55-64,Hispanic,CLRD,358
2013,F,55-64,Hispanic,Diseases of the Heart,1187
2013,F,55-64,Hispanic,All Other Causes,1751
2013,F,55-64,Hispanic,Malignant Neoplasms,2995
2013,F,55-64,Hispanic,Total,6940
2013,F,55-64,Not Stated,Diseases of the Heart,1
2013,F,55-64,Not Stated,Total,1
2013,F,55-64,White Non Hispanic,Accidents,1
2013,F,55-64,White Non Hispanic,All Other Causes,1
2013,F,55-64,White Non Hispanic,CLRD,1
2013,F,55-64,White Non Hispanic,Diseases of the Heart,1
2013,F,55-64,White Non Hispanic,Malignant Neoplasms,1
2013,F,55-64,White Non Hispanic,Total,5
2013,F,65-74,Black Non Hispanic,All Other Causes,1
2013,F,65-74,Black Non Hispanic,CLRD,1
2013,F,65-74,Black Non Hispanic,Cerebrovascular Disease,1
2013,F,65-74,Black Non Hispanic,Diseases of the Heart,1
2013,F,65-74,Black Non Hispanic,Total,4
2013,F,65-74,Hispanic,AIDS,22
2013,F,65-74,Hispanic,Diabetes Mellitus,81
2013,F,65-74,Hispanic,Accidents,170
2013,F,65-74,Hispanic,Pneumonia,249
2013,F,65-74,Hispanic,Cerebrovascular Disease,373
2013,F,65-74,Hispanic,CLRD,748
2013,F,65-74,Hispanic,Diseases of the Heart,2301
2013,F,65-74,Hispanic,All Other Causes,2618
2013,F,65-74,Hispanic,Malignant Neoplasms,4190
2013,F,65-74,Hispanic,Total,10752
2013,F,65-74,Not Stated,All Other Causes,1
2013,F,65-74,Not Stated,Total,1
2013,F,65-74,White Non Hispanic,Accidents,1
2013,F,65-74,White Non Hispanic,All Other Causes,2
2013,F,65-74,White Non Hispanic,Diseases of the Heart,2
2013,F,65-74,White Non Hispanic,Malignant Neoplasms,4
2013,F,65-74,White Non Hispanic,Total,9
2013,F,75-84,Black Non Hispanic,Diseases of the Heart,2
2013,F,75-84,Black Non Hispanic,All Other Causes,3
2013,F,75-84,Black Non Hispanic,Total,5
2013,F,75-84,Hispanic,AIDS,3
2013,F,75-84,Hispanic,Diabetes Mellitus,104
2013,F,75-84,Hispanic,Accidents,283
2013,F,75-84,Hispanic,Pneumonia,553
2013,F,75-84,Hispanic,Cerebrovascular Disease,921
2013,F,75-84,Hispanic,CLRD,1177
2013,F,75-84,Hispanic,Malignant Neoplasms,4621
2013,F,75-84,Hispanic,Diseases of the Heart,5034
2013,F,75-84,Hispanic,All Other Causes,5193
2013,F,75-84,Hispanic,Total,17889
2013,F,75-84,Not Stated,All Other Causes,1
2013,F,75-84,Not Stated,Diseases of the Heart,1
2013,F,75-84,Not Stated,Malignant Neoplasms,1
2013,F,75-84,Not Stated,Total,3
2013,F,75-84,White Non Hispanic,CLRD,1
2013,F,75-84,White Non Hispanic,Malignant Neoplasms,1
2013,F,75-84,White Non Hispanic,All Other Causes,2
2013,F,75-84,White Non Hispanic,Diseases of the Heart,5
2013,F,75-84,White Non Hispanic,Total,9
2013,F,85+,Black Non Hispanic,All Other Causes,1
2013,F,85+,Black Non Hispanic,Malignant Neoplasms,1
2013,F,85+,Black Non Hispanic,Total,2
2013,F,85+,Hispanic,Diabetes Mellitus,141
2013,F,85+,Hispanic,Accidents,564
2013,F,85+,Hispanic,Pneumonia,1370
2013,F,85+,Hispanic,CLRD,1412
2013,F,85+,Hispanic,Cerebrovascular Disease,1971
2013,F,85+,Hispanic,Malignant Neoplasms,3717
2013,F,85+,Hispanic,All Other Causes,11908
2013,F,85+,Hispanic,Diseases of the Heart,12877
2013,F,85+,Hispanic,Total,33960
2013,F,85+,Not Stated,Cerebrovascular Disease,1
2013,F,85+,Not Stated,Diseases of the Heart,1
2013,F,85+,Not Stated,Total,2
2013,F,85+,Other Non Hispanic,Malignant Neoplasms,1
2013,F,85+,Other Non Hispanic,Total,1
2013,F,85+,White Non Hispanic,Cerebrovascular Disease,1
2013,F,85+,White Non Hispanic,CLRD,2
2013,F,85+,White Non Hispanic,Malignant Neoplasms,4
2013,F,85+,White Non Hispanic,All Other Causes,5
2013,F,85+,White Non Hispanic,Diseases of the Heart,6
2013,F,85+,White Non Hispanic,Total,18
2013,F,<1,Hispanic,Malignant Neoplasms,2
2013,F,<1,Hispanic,Pneumonia,4
2013,F,<1,Hispanic,Diseases of the Heart,6
2013,F,<1,Hispanic,Accidents,14
2013,F,<1,Hispanic,All Other Causes,468
2013,F,<1,Hispanic,Total,494
2013,F,<1,Not Stated,All Other Causes,6
2013,F,<1,Not Stated,Total,6
2013,F,<1,White Non Hispanic,All Other Causes,1
2013,F,<1,White Non Hispanic,Total,1
2013,M,1-9,Hispanic,CLRD,2
2013,M,1-9,Hispanic,Pneumonia,4
2013,M,1-9,Hispanic,Diseases of the Heart,9
2013,M,1-9,Hispanic,Malignant Neoplasms,26
2013,M,1-9,Hispanic,Accidents,45
2013,M,1-9,Hispanic,All Other Causes,82
2013,M,1-9,Hispanic,Total,168
2013,M,10-19,Hispanic,Diabetes Mellitus,1
2013,M,10-19,Hispanic,Cerebrovascular Disease,3
2013,M,10-19,Hispanic,Pneumonia,3
2013,M,10-19,Hispanic,CLRD,8
2013,M,10-19,Hispanic,Diseases of the Heart,14
2013,M,10-19,Hispanic,Malignant Neoplasms,37
2013,M,10-19,Hispanic,Accidents,118
2013,M,10-19,Hispanic,All Other Causes,166
2013,M,10-19,Hispanic,Total,350
2013,M,20-24,Hispanic,Pneumonia,2
2013,M,20-24,Hispanic,Cerebrovascular Disease,3
2013,M,20-24,Hispanic,Diabetes Mellitus,3
2013,M,20-24,Hispanic,AIDS,4
2013,M,20-24,Hispanic,CLRD,7
2013,M,20-24,Hispanic,Diseases of the Heart,24
2013,M,20-24,Hispanic,Malignant Neoplasms,34
2013,M,20-24,Hispanic,Accidents,275
2013,M,20-24,Hispanic,All Other Causes,313
2013,M,20-24,Hispanic,Total,665
2013,M,25-34,Hispanic,Diabetes Mellitus,8
2013,M,25-34,Hispanic,CLRD,9
2013,M,25-34,Hispanic,Cerebrovascular Disease,9
2013,M,25-34,Hispanic,Pneumonia,16
2013,M,25-34,Hispanic,AIDS,25
2013,M,25-34,Hispanic,Diseases of the Heart,107
2013,M,25-34,Hispanic,Malignant Neoplasms,110
2013,M,25-34,Hispanic,Accidents,536
2013,M,25-34,Hispanic,All Other Causes,629
2013,M,25-34,Hispanic,Total,1449
2013,M,25-34,Not Stated,Diseases of the Heart,1
2013,M,25-34,Not Stated,Total,1
2013,M,25-34,White Non Hispanic,Accidents,1
2013,M,25-34,White Non Hispanic,Total,1
2013,M,35-44,Black Non Hispanic,All Other Causes,1
2013,M,35-44,Black Non Hispanic,Total,1
2013,M,35-44,Hispanic,Diabetes Mellitus,9
2013,M,35-44,Hispanic,Pneumonia,21
2013,M,35-44,Hispanic,CLRD,27
2013,M,35-44,Hispanic,Cerebrovascular Disease,35
2013,M,35-44,Hispanic,AIDS,49
2013,M,35-44,Hispanic,Malignant Neoplasms,274
2013,M,35-44,Hispanic,Diseases of the Heart,368
2013,M,35-44,Hispanic,Accidents,437
2013,M,35-44,Hispanic,All Other Causes,812
2013,M,35-44,Hispanic,Total,2032
2013,M,35-44,Not Stated,Diseases of the Heart,1
2013,M,35-44,Not Stated,Total,1
2013,M,35-44,White Non Hispanic,All Other Causes,1
2013,M,35-44,White Non Hispanic,Diseases of the Heart,2
2013,M,35-44,White Non Hispanic,Total,3
2013,M,45-54,Black Non Hispanic,Accidents,1
2013,M,45-54,Black Non Hispanic,Diseases of the Heart,2
2013,M,45-54,Black Non Hispanic,Total,3
2013,M,45-54,Hispanic,Diabetes Mellitus,33
2013,M,45-54,Hispanic,Pneumonia,85
2013,M,45-54,Hispanic,CLRD,103
2013,M,45-54,Hispanic,AIDS,138
2013,M,45-54,Hispanic,Cerebrovascular Disease,147
2013,M,45-54,Hispanic,Accidents,620
2013,M,45-54,Hispanic,Diseases of the Heart,1290
2013,M,45-54,Hispanic,Malignant Neoplasms,1315
2013,M,45-54,Hispanic,All Other Causes,1810
2013,M,45-54,Hispanic,Total,5541
2013,M,45-54,Not Stated,Accidents,1
2013,M,45-54,Not Stated,Diseases of the Heart,1
2013,M,45-54,Not Stated,All Other Causes,2
2013,M,45-54,Not Stated,Total,4
2013,M,45-54,White Non Hispanic,Diseases of the Heart,1
2013,M,45-54,White Non Hispanic,All Other Causes,2
2013,M,45-54,White Non Hispanic,Malignant Neoplasms,2
2013,M,45-54,White Non Hispanic,Total,5
2013,M,55-64,Black Non Hispanic,AIDS,1
2013,M,55-64,Black Non Hispanic,All Other Causes,1
2013,M,55-64,Black Non Hispanic,Total,2
2013,M,55-64,Hispanic,Diabetes Mellitus,66
2013,M,55-64,Hispanic,AIDS,131
2013,M,55-64,Hispanic,Pneumonia,217
